row_idx	col_idx	log2ratio
1762819_s_at	con139	0
1761222_s_at	con139	0
1761030_s_at	con139	0
1759540_s_at	con139	0
1763146_s_at	con139	0
1759828_s_at	con139	0
1761884_s_at	con139	0
1761553_s_at	con139	0
1762701_s_at	con139	0
1761189_s_at	con139	0
1759302_s_at	con139	0
1759829_s_at	con139	1
1763491_s_at	con139	0
1762633_s_at	con139	0
1761245_s_at	con139	0
1761277_s_at	con139	0
1763426_s_at	con139	0
1759781_s_at	con139	0
1760088_s_at	con139	0
1759906_s_at	con139	0
1763132_s_at	con139	0
1761160_s_at	con139	0
1761128_at	con139	0
1763490_s_at	con139	0
1761620_s_at	con139	0
1760516_s_at	con139	0
1761944_s_at	con139	0
1763198_s_at	con139	1
1761873_s_at	con139	0
1759502_s_at	con139	0
1762151_s_at	con139	0
1760453_s_at	con139	0
1760164_s_at	con139	0
1762105_s_at	con139	0
1760894_s_at	con139	0
1761434_s_at	con139	-1
1762880_s_at	con139	0
1760951_s_at	con139	0
1762787_s_at	con139	0
1763138_s_at	con139	0
1761145_s_at	con139	0
1762983_s_at	con139	0
1762401_s_at	con139	0
1760594_s_at	con139	0
1762388_s_at	con139	0
1763383_at	con139	0
1762945_s_at	con139	0
1762118_s_at	con139	0
1759080_s_at	con139	0
1763410_s_at	con139	0
1762819_s_at	con128	0
1761222_s_at	con128	0
1761030_s_at	con128	0
1759540_s_at	con128	0
1763146_s_at	con128	0
1759828_s_at	con128	-1
1761884_s_at	con128	0
1761553_s_at	con128	0
1762701_s_at	con128	0
1761189_s_at	con128	1
1759302_s_at	con128	0
1759829_s_at	con128	0
1763491_s_at	con128	0
1762633_s_at	con128	0
1761245_s_at	con128	0
1761277_s_at	con128	0
1763426_s_at	con128	-1
1759781_s_at	con128	0
1760088_s_at	con128	0
1759906_s_at	con128	0
1763132_s_at	con128	0
1761160_s_at	con128	1
1761128_at	con128	0
1763490_s_at	con128	-1
1761620_s_at	con128	0
1760516_s_at	con128	0
1761944_s_at	con128	0
1763198_s_at	con128	0
1761873_s_at	con128	0
1759502_s_at	con128	0
1762151_s_at	con128	0
1760453_s_at	con128	0
1760164_s_at	con128	-1
1762105_s_at	con128	0
1760894_s_at	con128	0
1761434_s_at	con128	1
1762880_s_at	con128	0
1760951_s_at	con128	0
1762787_s_at	con128	0
1763138_s_at	con128	0
1761145_s_at	con128	0
1762983_s_at	con128	0
1762401_s_at	con128	0
1760594_s_at	con128	-1
1762388_s_at	con128	0
1763383_at	con128	0
1762945_s_at	con128	0
1762118_s_at	con128	0
1759080_s_at	con128	0
1763410_s_at	con128	0
1762819_s_at	con152	0
1761222_s_at	con152	0
1761030_s_at	con152	-1
1759540_s_at	con152	0
1763146_s_at	con152	0
1759828_s_at	con152	0
1761884_s_at	con152	0
1761553_s_at	con152	0
1762701_s_at	con152	0
1761189_s_at	con152	-1
1759302_s_at	con152	0
1759829_s_at	con152	-1
1763491_s_at	con152	0
1762633_s_at	con152	0
1761245_s_at	con152	2
1761277_s_at	con152	0
1763426_s_at	con152	1
1759781_s_at	con152	0
1760088_s_at	con152	0
1759906_s_at	con152	0
1763132_s_at	con152	-1
1761160_s_at	con152	0
1761128_at	con152	0
1763490_s_at	con152	0
1761620_s_at	con152	0
1760516_s_at	con152	0
1761944_s_at	con152	-1
1763198_s_at	con152	0
1761873_s_at	con152	0
1759502_s_at	con152	0
1762151_s_at	con152	0
1760453_s_at	con152	0
1760164_s_at	con152	0
1762105_s_at	con152	-1
1760894_s_at	con152	0
1761434_s_at	con152	-1
1762880_s_at	con152	0
1760951_s_at	con152	1
1762787_s_at	con152	0
1763138_s_at	con152	-1
1761145_s_at	con152	0
1762983_s_at	con152	0
1762401_s_at	con152	-1
1760594_s_at	con152	0
1762388_s_at	con152	-1
1763383_at	con152	0
1762945_s_at	con152	-1
1762118_s_at	con152	0
1759080_s_at	con152	0
1763410_s_at	con152	-1
1762819_s_at	con191	-2
1761222_s_at	con191	-3
1761030_s_at	con191	1
1759540_s_at	con191	1
1763146_s_at	con191	-1
1759828_s_at	con191	2
1761884_s_at	con191	0
1761553_s_at	con191	0
1762701_s_at	con191	0
1761189_s_at	con191	-2
1759302_s_at	con191	0
1759829_s_at	con191	1
1763491_s_at	con191	3
1762633_s_at	con191	0
1761245_s_at	con191	1
1761277_s_at	con191	0
1763426_s_at	con191	-1
1759781_s_at	con191	1
1760088_s_at	con191	2
1759906_s_at	con191	0
1763132_s_at	con191	-1
1761160_s_at	con191	0
1761128_at	con191	1
1763490_s_at	con191	2
1761620_s_at	con191	0
1760516_s_at	con191	0
1761944_s_at	con191	1
1763198_s_at	con191	0
1761873_s_at	con191	0
1759502_s_at	con191	0
1762151_s_at	con191	2
1760453_s_at	con191	1
1760164_s_at	con191	0
1762105_s_at	con191	1
1760894_s_at	con191	0
1761434_s_at	con191	0
1762880_s_at	con191	-1
1760951_s_at	con191	0
1762787_s_at	con191	0
1763138_s_at	con191	-1
1761145_s_at	con191	1
1762983_s_at	con191	-2
1762401_s_at	con191	1
1760594_s_at	con191	0
1762388_s_at	con191	0
1763383_at	con191	0
1762945_s_at	con191	-1
1762118_s_at	con191	4
1759080_s_at	con191	0
1763410_s_at	con191	0
1762819_s_at	con1028	0
1761222_s_at	con1028	0
1761030_s_at	con1028	-1
1759540_s_at	con1028	-1
1763146_s_at	con1028	0
1759828_s_at	con1028	0
1761884_s_at	con1028	-7
1761553_s_at	con1028	0
1762701_s_at	con1028	-1
1761189_s_at	con1028	-1
1759302_s_at	con1028	0
1759829_s_at	con1028	-1
1763491_s_at	con1028	0
1762633_s_at	con1028	0
1761245_s_at	con1028	0
1761277_s_at	con1028	1
1763426_s_at	con1028	0
1759781_s_at	con1028	-1
1760088_s_at	con1028	0
1759906_s_at	con1028	0
1763132_s_at	con1028	0
1761160_s_at	con1028	-1
1761128_at	con1028	0
1763490_s_at	con1028	0
1761620_s_at	con1028	0
1760516_s_at	con1028	0
1761944_s_at	con1028	-3
1763198_s_at	con1028	-1
1761873_s_at	con1028	0
1759502_s_at	con1028	0
1762151_s_at	con1028	0
1760453_s_at	con1028	-1
1760164_s_at	con1028	0
1762105_s_at	con1028	-3
1760894_s_at	con1028	0
1761434_s_at	con1028	-1
1762880_s_at	con1028	0
1760951_s_at	con1028	0
1762787_s_at	con1028	0
1763138_s_at	con1028	0
1761145_s_at	con1028	-1
1762983_s_at	con1028	-2
1762401_s_at	con1028	-1
1760594_s_at	con1028	0
1762388_s_at	con1028	-1
1763383_at	con1028	0
1762945_s_at	con1028	-1
1762118_s_at	con1028	-1
1759080_s_at	con1028	0
1763410_s_at	con1028	-2
1762819_s_at	con1027	0
1761222_s_at	con1027	-1
1761030_s_at	con1027	0
1759540_s_at	con1027	0
1763146_s_at	con1027	-1
1759828_s_at	con1027	-1
1761884_s_at	con1027	-1
1761553_s_at	con1027	0
1762701_s_at	con1027	-1
1761189_s_at	con1027	-1
1759302_s_at	con1027	0
1759829_s_at	con1027	0
1763491_s_at	con1027	0
1762633_s_at	con1027	0
1761245_s_at	con1027	1
1761277_s_at	con1027	0
1763426_s_at	con1027	-1
1759781_s_at	con1027	-2
1760088_s_at	con1027	0
1759906_s_at	con1027	-2
1763132_s_at	con1027	-1
1761160_s_at	con1027	-1
1761128_at	con1027	0
1763490_s_at	con1027	-1
1761620_s_at	con1027	-1
1760516_s_at	con1027	-1
1761944_s_at	con1027	-3
1763198_s_at	con1027	-1
1761873_s_at	con1027	0
1759502_s_at	con1027	0
1762151_s_at	con1027	0
1760453_s_at	con1027	-1
1760164_s_at	con1027	-1
1762105_s_at	con1027	-3
1760894_s_at	con1027	0
1761434_s_at	con1027	0
1762880_s_at	con1027	-1
1760951_s_at	con1027	0
1762787_s_at	con1027	0
1763138_s_at	con1027	-1
1761145_s_at	con1027	-1
1762983_s_at	con1027	-1
1762401_s_at	con1027	-1
1760594_s_at	con1027	-1
1762388_s_at	con1027	-1
1763383_at	con1027	0
1762945_s_at	con1027	-2
1762118_s_at	con1027	0
1759080_s_at	con1027	-1
1763410_s_at	con1027	-3
1762819_s_at	con126	0
1761222_s_at	con126	0
1761030_s_at	con126	0
1759540_s_at	con126	0
1763146_s_at	con126	-1
1759828_s_at	con126	0
1761884_s_at	con126	0
1761553_s_at	con126	-2
1762701_s_at	con126	-1
1761189_s_at	con126	0
1759302_s_at	con126	0
1759829_s_at	con126	0
1763491_s_at	con126	0
1762633_s_at	con126	0
1761245_s_at	con126	0
1761277_s_at	con126	0
1763426_s_at	con126	1
1759781_s_at	con126	0
1760088_s_at	con126	0
1759906_s_at	con126	0
1763132_s_at	con126	-1
1761160_s_at	con126	0
1761128_at	con126	0
1763490_s_at	con126	0
1761620_s_at	con126	0
1760516_s_at	con126	0
1761944_s_at	con126	0
1763198_s_at	con126	0
1761873_s_at	con126	0
1759502_s_at	con126	0
1762151_s_at	con126	0
1760453_s_at	con126	0
1760164_s_at	con126	0
1762105_s_at	con126	1
1760894_s_at	con126	1
1761434_s_at	con126	0
1762880_s_at	con126	0
1760951_s_at	con126	0
1762787_s_at	con126	0
1763138_s_at	con126	0
1761145_s_at	con126	0
1762983_s_at	con126	1
1762401_s_at	con126	0
1760594_s_at	con126	0
1762388_s_at	con126	0
1763383_at	con126	0
1762945_s_at	con126	0
1762118_s_at	con126	0
1759080_s_at	con126	0
1763410_s_at	con126	0
1762819_s_at	con127	0
1761222_s_at	con127	0
1761030_s_at	con127	0
1759540_s_at	con127	0
1763146_s_at	con127	0
1759828_s_at	con127	0
1761884_s_at	con127	2
1761553_s_at	con127	-1
1762701_s_at	con127	0
1761189_s_at	con127	0
1759302_s_at	con127	0
1759829_s_at	con127	0
1763491_s_at	con127	0
1762633_s_at	con127	0
1761245_s_at	con127	0
1761277_s_at	con127	0
1763426_s_at	con127	0
1759781_s_at	con127	0
1760088_s_at	con127	0
1759906_s_at	con127	0
1763132_s_at	con127	0
1761160_s_at	con127	1
1761128_at	con127	0
1763490_s_at	con127	-1
1761620_s_at	con127	0
1760516_s_at	con127	0
1761944_s_at	con127	0
1763198_s_at	con127	0
1761873_s_at	con127	0
1759502_s_at	con127	1
1762151_s_at	con127	0
1760453_s_at	con127	0
1760164_s_at	con127	1
1762105_s_at	con127	0
1760894_s_at	con127	0
1761434_s_at	con127	0
1762880_s_at	con127	0
1760951_s_at	con127	0
1762787_s_at	con127	0
1763138_s_at	con127	0
1761145_s_at	con127	0
1762983_s_at	con127	0
1762401_s_at	con127	0
1760594_s_at	con127	0
1762388_s_at	con127	0
1763383_at	con127	0
1762945_s_at	con127	0
1762118_s_at	con127	0
1759080_s_at	con127	1
1763410_s_at	con127	0
1762819_s_at	con130	-1
1761222_s_at	con130	0
1761030_s_at	con130	0
1759540_s_at	con130	1
1763146_s_at	con130	0
1759828_s_at	con130	0
1761884_s_at	con130	0
1761553_s_at	con130	0
1762701_s_at	con130	0
1761189_s_at	con130	0
1759302_s_at	con130	0
1759829_s_at	con130	0
1763491_s_at	con130	0
1762633_s_at	con130	0
1761245_s_at	con130	0
1761277_s_at	con130	0
1763426_s_at	con130	0
1759781_s_at	con130	0
1760088_s_at	con130	0
1759906_s_at	con130	0
1763132_s_at	con130	0
1761160_s_at	con130	0
1761128_at	con130	0
1763490_s_at	con130	0
1761620_s_at	con130	0
1760516_s_at	con130	0
1761944_s_at	con130	-1
1763198_s_at	con130	0
1761873_s_at	con130	0
1759502_s_at	con130	0
1762151_s_at	con130	0
1760453_s_at	con130	0
1760164_s_at	con130	0
1762105_s_at	con130	0
1760894_s_at	con130	0
1761434_s_at	con130	0
1762880_s_at	con130	0
1760951_s_at	con130	0
1762787_s_at	con130	0
1763138_s_at	con130	0
1761145_s_at	con130	0
1762983_s_at	con130	-1
1762401_s_at	con130	0
1760594_s_at	con130	0
1762388_s_at	con130	0
1763383_at	con130	-1
1762945_s_at	con130	0
1762118_s_at	con130	0
1759080_s_at	con130	0
1763410_s_at	con130	0
1762819_s_at	con150	1
1761222_s_at	con150	0
1761030_s_at	con150	-1
1759540_s_at	con150	0
1763146_s_at	con150	1
1759828_s_at	con150	-1
1761884_s_at	con150	0
1761553_s_at	con150	0
1762701_s_at	con150	0
1761189_s_at	con150	0
1759302_s_at	con150	-1
1759829_s_at	con150	0
1763491_s_at	con150	0
1762633_s_at	con150	0
1761245_s_at	con150	0
1761277_s_at	con150	0
1763426_s_at	con150	-1
1759781_s_at	con150	1
1760088_s_at	con150	-1
1759906_s_at	con150	-1
1763132_s_at	con150	1
1761160_s_at	con150	-1
1761128_at	con150	-1
1763490_s_at	con150	0
1761620_s_at	con150	0
1760516_s_at	con150	0
1761944_s_at	con150	-1
1763198_s_at	con150	0
1761873_s_at	con150	0
1759502_s_at	con150	-1
1762151_s_at	con150	-1
1760453_s_at	con150	0
1760164_s_at	con150	0
1762105_s_at	con150	0
1760894_s_at	con150	-1
1761434_s_at	con150	0
1762880_s_at	con150	2
1760951_s_at	con150	0
1762787_s_at	con150	-1
1763138_s_at	con150	1
1761145_s_at	con150	0
1762983_s_at	con150	1
1762401_s_at	con150	0
1760594_s_at	con150	0
1762388_s_at	con150	0
1763383_at	con150	0
1762945_s_at	con150	0
1762118_s_at	con150	-1
1759080_s_at	con150	0
1763410_s_at	con150	0
1762819_s_at	con138	0
1761222_s_at	con138	0
1761030_s_at	con138	0
1759540_s_at	con138	0
1763146_s_at	con138	0
1759828_s_at	con138	0
1761884_s_at	con138	0
1761553_s_at	con138	0
1762701_s_at	con138	0
1761189_s_at	con138	0
1759302_s_at	con138	0
1759829_s_at	con138	0
1763491_s_at	con138	0
1762633_s_at	con138	0
1761245_s_at	con138	0
1761277_s_at	con138	0
1763426_s_at	con138	0
1759781_s_at	con138	0
1760088_s_at	con138	0
1759906_s_at	con138	0
1763132_s_at	con138	0
1761160_s_at	con138	0
1761128_at	con138	0
1763490_s_at	con138	0
1761620_s_at	con138	0
1760516_s_at	con138	0
1761944_s_at	con138	0
1763198_s_at	con138	0
1761873_s_at	con138	0
1759502_s_at	con138	0
1762151_s_at	con138	0
1760453_s_at	con138	0
1760164_s_at	con138	0
1762105_s_at	con138	0
1760894_s_at	con138	0
1761434_s_at	con138	1
1762880_s_at	con138	0
1760951_s_at	con138	0
1762787_s_at	con138	0
1763138_s_at	con138	0
1761145_s_at	con138	0
1762983_s_at	con138	0
1762401_s_at	con138	0
1760594_s_at	con138	0
1762388_s_at	con138	0
1763383_at	con138	0
1762945_s_at	con138	0
1762118_s_at	con138	0
1759080_s_at	con138	0
1763410_s_at	con138	0
1762819_s_at	con103	0
1761222_s_at	con103	0
1761030_s_at	con103	0
1759540_s_at	con103	0
1763146_s_at	con103	0
1759828_s_at	con103	0
1761884_s_at	con103	-1
1761553_s_at	con103	0
1762701_s_at	con103	0
1761189_s_at	con103	0
1759302_s_at	con103	-1
1759829_s_at	con103	0
1763491_s_at	con103	1
1762633_s_at	con103	0
1761245_s_at	con103	0
1761277_s_at	con103	0
1763426_s_at	con103	0
1759781_s_at	con103	0
1760088_s_at	con103	0
1759906_s_at	con103	-1
1763132_s_at	con103	0
1761160_s_at	con103	-1
1761128_at	con103	0
1763490_s_at	con103	1
1761620_s_at	con103	0
1760516_s_at	con103	0
1761944_s_at	con103	2
1763198_s_at	con103	0
1761873_s_at	con103	0
1759502_s_at	con103	-2
1762151_s_at	con103	0
1760453_s_at	con103	0
1760164_s_at	con103	0
1762105_s_at	con103	2
1760894_s_at	con103	0
1761434_s_at	con103	1
1762880_s_at	con103	0
1760951_s_at	con103	0
1762787_s_at	con103	0
1763138_s_at	con103	0
1761145_s_at	con103	-1
1762983_s_at	con103	0
1762401_s_at	con103	0
1760594_s_at	con103	0
1762388_s_at	con103	-1
1763383_at	con103	0
1762945_s_at	con103	0
1762118_s_at	con103	0
1759080_s_at	con103	-1
1763410_s_at	con103	0
1762819_s_at	con136	0
1761222_s_at	con136	0
1761030_s_at	con136	0
1759540_s_at	con136	0
1763146_s_at	con136	0
1759828_s_at	con136	0
1761884_s_at	con136	0
1761553_s_at	con136	0
1762701_s_at	con136	0
1761189_s_at	con136	0
1759302_s_at	con136	0
1759829_s_at	con136	0
1763491_s_at	con136	0
1762633_s_at	con136	1
1761245_s_at	con136	0
1761277_s_at	con136	0
1763426_s_at	con136	0
1759781_s_at	con136	0
1760088_s_at	con136	0
1759906_s_at	con136	0
1763132_s_at	con136	0
1761160_s_at	con136	0
1761128_at	con136	0
1763490_s_at	con136	0
1761620_s_at	con136	0
1760516_s_at	con136	0
1761944_s_at	con136	0
1763198_s_at	con136	0
1761873_s_at	con136	0
1759502_s_at	con136	0
1762151_s_at	con136	0
1760453_s_at	con136	0
1760164_s_at	con136	0
